"","pairid","Cluster_identity","cluster","co_exp_prop","host_only_prop","nested_only_prop","not_expressing_prop"
"636","7271_ID","Late spermatids","3",0,0.00203665987780041,0,0.9979633401222
"637","7271_ID","Macrophages","3",0,0,0,1
"638","7271_ID","Diff.spermatogonia/Preleptotene","3",0,0.0217391304347826,0,0.978260869565217
"639","7271_ID","PMCs","3",0,0.0551431601272534,0.00212089077412513,0.942735949098621
"640","7271_ID","Meiotic divisions","3",0,0.0024588148512417,0.00049176297024834,0.99704942217851
"641","7271_ID","Undifferentiated spermatogonia","3",0,0.00232018561484919,0.00618716163959783,0.991492652745553
"642","7271_ID","Diplotene","3",0,0.00140515222482436,0,0.998594847775176
"643","7271_ID","Zygotene","3",0.00520291363163371,0.237252861602497,0.00416233090530697,0.753381893860562
"644","7271_ID","Fibrotic peritubular myoid cells","3",0,0.0721649484536082,0.00515463917525773,0.922680412371134
"645","7271_ID","Leptotene","3",0,0.0762527233115468,0,0.923747276688453
"646","7278_ID","Late spermatids","3",0,0.00203665987780041,0.000509164969450102,0.997454175152749
"647","7278_ID","Diplotene","3",0,0.00140515222482436,0.000468384074941452,0.998126463700234
"648","7278_ID","Endothelial cells","3",0,0,0,1
"649","7278_ID","Meiotic divisions","3",0.00024588148512417,0.00221293336611753,0.00073764445537251,0.996803540693386
"650","7278_ID","Pachytene","3",0,0.0050251256281407,0.00100502512562814,0.993969849246231
"651","7278_ID","Fibrotic peritubular myoid cells","3",0,0.0721649484536082,0.0360824742268041,0.891752577319588
"652","7278_ID","Zygotene","3",0.0572320499479709,0.18522372528616,0.032258064516129,0.72528616024974
"653","7278_ID","Undifferentiated spermatogonia","3",0,0.00232018561484919,0.00618716163959783,0.991492652745553
"654","7278_ID","Macrophages","3",0,0,0.0555555555555556,0.944444444444444
"655","7278_ID","Diff.spermatogonia/Preleptotene","3",0.00167224080267559,0.020066889632107,0.00668896321070234,0.971571906354515
"656","7278_ID","Leydig cells","3",0,0.0227272727272727,0,0.977272727272727
"657","7278_ID","Sertoli cells","3",0,0.0178571428571429,0.00595238095238095,0.976190476190476
"658","7278_ID","PMCs","3",0.00106044538706257,0.0540827147401909,0.0159066808059385,0.928950159066808
"659","7278_ID","Leptotene","3",0.00435729847494553,0.0718954248366013,0.0065359477124183,0.917211328976035
"660","7278_ID","Early spermatids","3",0,0.0043424317617866,0.000620347394540943,0.995037220843672
"661","7280_ID","Meiotic divisions","3",0.00049176297024834,0.00196705188099336,0.00688468158347676,0.990656503565282
"662","7280_ID","Leydig cells","3",0,0.0227272727272727,0,0.977272727272727
"663","7280_ID","Diff.spermatogonia/Preleptotene","3",0.00334448160535117,0.0183946488294314,0.068561872909699,0.909698996655518
"664","7280_ID","Pachytene","3",0,0.0050251256281407,0.0050251256281407,0.989949748743719
"665","7280_ID","Leptotene","3",0.00435729847494553,0.0718954248366013,0.0588235294117647,0.864923747276688
"666","7280_ID","Macrophages","3",0,0,0,1
"667","7280_ID","Diplotene","3",0,0.00140515222482436,0.00281030444964871,0.995784543325527
"668","7280_ID","Early spermatids","3",0,0.0043424317617866,0.0086848635235732,0.98697270471464
"669","7280_ID","Sertoli cells","3",0.00595238095238095,0.0119047619047619,0.0238095238095238,0.958333333333333
"670","7280_ID","Fibrotic peritubular myoid cells","3",0.00515463917525773,0.0670103092783505,0.0309278350515464,0.896907216494845
"671","7280_ID","Zygotene","3",0.0561914672216441,0.186264308012487,0.0520291363163371,0.705515088449532
"672","7280_ID","Undifferentiated spermatogonia","3",0,0.00232018561484919,0.202629543696829,0.795050270688322
"673","7280_ID","PMCs","3",0.00424178154825027,0.0509013785790032,0.0296924708377519,0.915164369034995
"674","7280_ID","Endothelial cells","3",0,0,0,1
"675","7280_ID","Late spermatids","3",0.000509164969450102,0.00152749490835031,0.00661914460285132,0.991344195519348
"676","7284_ID","Diff.spermatogonia/Preleptotene","3",0.00167224080267559,0.0267558528428094,0.00167224080267559,0.969899665551839
"677","7284_ID","Diplotene","3",0,0.00234192037470726,0,0.997658079625293
"678","7284_ID","Fibrotic peritubular myoid cells","3",0,0.0206185567010309,0.0876288659793814,0.891752577319588
"679","7284_ID","Zygotene","3",0.00104058272632674,0.0124869927159209,0.00832466181061394,0.978147762747138
"680","7284_ID","Pachytene","3",0.00100502512562814,0.00301507537688442,0.00301507537688442,0.992964824120603
"681","7284_ID","Late spermatids","3",0,0.0127291242362525,0.00152749490835031,0.985743380855397
"682","7284_ID","PMCs","3",0.00106044538706257,0.0159066808059385,0.0572640509013786,0.92576882290562
"683","7284_ID","Leydig cells","3",0,0.0227272727272727,0.0227272727272727,0.954545454545455
"684","7284_ID","Leptotene","3",0,0.0130718954248366,0.0174291938997821,0.969498910675381
"685","7284_ID","Macrophages","3",0,0,0,1
"686","7284_ID","Endothelial cells","3",0.0246913580246914,0.0123456790123457,0.308641975308642,0.654320987654321
"687","7284_ID","Early spermatids","3",0,0.0136476426799007,0.00186104218362283,0.984491315136476
"688","7284_ID","Sertoli cells","3",0,0.0297619047619048,0.0297619047619048,0.94047619047619
"689","7284_ID","Meiotic divisions","3",0,0.00221293336611753,0.00073764445537251,0.99704942217851
"690","7284_ID","Undifferentiated spermatogonia","3",0.000773395204949729,0.0239752513534416,0.00464037122969838,0.97061098221191
"691","7342_ID","Endothelial cells","1",0.0123456790123457,0.037037037037037,0,0.950617283950617
"692","7342_ID","Sertoli cells","1",0.0119047619047619,0.101190476190476,0.0595238095238095,0.827380952380952
"693","7342_ID","Early spermatids","1",0.749379652605459,0.165632754342432,0.0707196029776675,0.0142679900744418
"694","7342_ID","Meiotic divisions","1",0.467912466191296,0.11261372018687,0.284730759773789,0.134743053848045
"695","7342_ID","Leptotene","1",0.0065359477124183,0.0501089324618736,0.028322440087146,0.915032679738562
"696","7342_ID","Leydig cells","1",0.0227272727272727,0.0454545454545455,0.0681818181818182,0.863636363636364
"697","7342_ID","Macrophages","1",0,0,0.166666666666667,0.833333333333333
"698","7342_ID","Diff.spermatogonia/Preleptotene","1",0.0100334448160535,0.117056856187291,0.0267558528428094,0.846153846153846
"699","7342_ID","Diplotene","1",0.0224824355971897,0.227634660421546,0.0384074941451991,0.711475409836066
"700","7342_ID","Undifferentiated spermatogonia","1",0.0146945088940449,0.094354215003867,0.037122969837587,0.853828306264501
"701","7342_ID","Pachytene","1",0.00402010050251256,0.105527638190955,0.0160804020100503,0.874371859296482
"702","7342_ID","PMCs","1",0.0445387062566278,0.0668080593849417,0.0699893955461294,0.818663838812301
"703","7342_ID","Fibrotic peritubular myoid cells","1",0.00515463917525773,0.0567010309278351,0.0206185567010309,0.917525773195876
"704","7342_ID","Zygotene","1",0.0114464099895942,0.0915712799167534,0.0353798126951093,0.861602497398543
"705","7342_ID","Late spermatids","1",0.317209775967413,0.35030549898167,0.176171079429735,0.156313645621181
"706","7364_ID","Undifferentiated spermatogonia","3",0.00309358081979892,0.00232018561484919,0.129156999226605,0.865429234338747
"707","7364_ID","Early spermatids","3",0.076302729528536,0.000620347394540943,0.889578163771712,0.033498759305211
"708","7364_ID","Leydig cells","3",0,0,0.0681818181818182,0.931818181818182
"709","7364_ID","Meiotic divisions","3",0.0226210966314237,0.00196705188099336,0.809195967543644,0.166215883943939
"710","7364_ID","Late spermatids","3",0.0422606924643585,0.0010183299389002,0.880346232179226,0.0763747454175153
"711","7364_ID","PMCs","3",0.0031813361611877,0,0.273594909862142,0.72322375397667
"712","7364_ID","Leptotene","3",0,0,0.191721132897603,0.808278867102396
"713","7364_ID","Fibrotic peritubular myoid cells","3",0,0,0.164948453608247,0.835051546391753
"714","7364_ID","Zygotene","3",0,0.00520291363163371,0.132154006243496,0.86264308012487
"715","7364_ID","Macrophages","3",0,0,0.222222222222222,0.777777777777778
"716","7364_ID","Sertoli cells","3",0,0.00595238095238095,0.297619047619048,0.696428571428571
"717","7364_ID","Diff.spermatogonia/Preleptotene","3",0,0.00167224080267559,0.12876254180602,0.869565217391304
"718","7364_ID","Diplotene","3",0.000468384074941452,0.00515222482435597,0.106791569086651,0.887587822014052
"719","7364_ID","Pachytene","3",0.00100502512562814,0.00603015075376884,0.0412060301507538,0.951758793969849
"720","7364_ID","Endothelial cells","3",0,0,0.271604938271605,0.728395061728395
"721","7569_ID","Leptotene","3",0,0,0.0261437908496732,0.973856209150327
"722","7569_ID","Leydig cells","3",0,0,0.0227272727272727,0.977272727272727
"723","7569_ID","Early spermatids","3",0.0254342431761787,0.00558312655086849,0.620967741935484,0.348014888337469
"724","7569_ID","Pachytene","3",0,0.00100502512562814,0.0321608040201005,0.966834170854271
"725","7569_ID","Diplotene","3",0,0.000936768149882904,0.0608899297423888,0.938173302107728
"726","7569_ID","Meiotic divisions","3",0.0164740595033194,0.00442586673223506,0.478731251536759,0.500368822227686
"727","7569_ID","Macrophages","3",0,0,0.111111111111111,0.888888888888889
"728","7569_ID","Zygotene","3",0.00104058272632674,0.00104058272632674,0.0426638917793965,0.95525494276795
"729","7569_ID","Fibrotic peritubular myoid cells","3",0,0,0.0154639175257732,0.984536082474227
"730","7569_ID","Diff.spermatogonia/Preleptotene","3",0,0.00836120401337793,0.0501672240802676,0.941471571906355
"731","7569_ID","PMCs","3",0.00106044538706257,0.00106044538706257,0.0922587486744433,0.905620360551432
"732","7569_ID","Sertoli cells","3",0,0,0.0714285714285714,0.928571428571429
"733","7569_ID","Endothelial cells","3",0,0.0123456790123457,0.0246913580246914,0.962962962962963
"734","7569_ID","Late spermatids","3",0.00967413441955193,0.00763747454175153,0.421079429735234,0.561608961303462
"735","7569_ID","Undifferentiated spermatogonia","3",0.000773395204949729,0.00773395204949729,0.0510440835266821,0.940448569218871
"736","7679_ID","Late spermatids","3",0.00560081466395112,0.0554989816700611,0.0336048879837067,0.905295315682281
"737","7679_ID","Sertoli cells","3",0,0.0357142857142857,0.00595238095238095,0.958333333333333
"738","7679_ID","Macrophages","3",0,0,0,1
"739","7679_ID","Early spermatids","3",0.0533498759305211,0.165012406947891,0.0967741935483871,0.684863523573201
"740","7679_ID","PMCs","3",0,0.0222693531283139,0.00424178154825027,0.973488865323436
"741","7679_ID","Diplotene","3",0,0.0173302107728337,0.00281030444964871,0.979859484777518
"742","7679_ID","Meiotic divisions","3",0.00024588148512417,0.0410622080157364,0.0108187853454635,0.947873125153676
"743","7679_ID","Fibrotic peritubular myoid cells","3",0,0.0154639175257732,0,0.984536082474227
"744","7679_ID","Leptotene","3",0,0.0174291938997821,0.00435729847494553,0.978213507625272
"745","7679_ID","Zygotene","3",0.00104058272632674,0.040582726326743,0.00520291363163371,0.953173777315297
"746","7679_ID","Diff.spermatogonia/Preleptotene","3",0.00167224080267559,0.0568561872909699,0,0.941471571906355
"747","7679_ID","Endothelial cells","3",0,0.0123456790123457,0,0.987654320987654
"748","7679_ID","Leydig cells","3",0,0,0,1
"749","7679_ID","Undifferentiated spermatogonia","3",0,0.0402165506573859,0.00232018561484919,0.957463263727765
"750","7679_ID","Pachytene","3",0,0.0311557788944724,0.00100502512562814,0.9678391959799
"751","7762_ID","Sertoli cells","3",0,0.00595238095238095,0,0.994047619047619
"752","7762_ID","PMCs","3",0,0.00212089077412513,0.00530222693531283,0.992576882290562
"753","7762_ID","Leptotene","3",0,0.00435729847494553,0.00871459694989107,0.986928104575163
"754","7762_ID","Meiotic divisions","3",0.00049176297024834,0.0118023112859602,0.0125399557413327,0.975165970002459
"755","7762_ID","Diff.spermatogonia/Preleptotene","3",0,0.00167224080267559,0.00167224080267559,0.996655518394649
"756","7762_ID","Endothelial cells","3",0,0,0,1
"757","7762_ID","Fibrotic peritubular myoid cells","3",0,0.00515463917525773,0.00515463917525773,0.989690721649485
"758","7762_ID","Diplotene","3",0,0.00468384074941452,0.0107728337236534,0.984543325526932
"759","7762_ID","Macrophages","3",0,0,0,1
"760","7762_ID","Undifferentiated spermatogonia","3",0.000773395204949729,0.00309358081979892,0.000773395204949729,0.995359628770302
"761","7762_ID","Pachytene","3",0.00201005025125628,0.014070351758794,0.021105527638191,0.962814070351759
"762","7762_ID","Late spermatids","3",0.00152749490835031,0.0280040733197556,0.0106924643584521,0.959775967413442
"763","7762_ID","Early spermatids","3",0.0043424317617866,0.0471464019851117,0.0620347394540943,0.886476426799007
"764","7762_ID","Zygotene","3",0,0.0312174817898023,0.00104058272632674,0.967741935483871
"765","7762_ID","Leydig cells","3",0,0,0,1
"766","7775_ID","Late spermatids","3",0,0.000509164969450102,0.014765784114053,0.984725050916497
"767","7775_ID","Leptotene","3",0,0,0,1
"768","7775_ID","Early spermatids","3",0,0,0.00992555831265509,0.990074441687345
"769","7775_ID","Zygotene","3",0,0.00312174817898023,0.00104058272632674,0.995837669094693
"770","7775_ID","Diff.spermatogonia/Preleptotene","3",0,0.00334448160535117,0,0.996655518394649
"771","7775_ID","Pachytene","3",0,0.0351758793969849,0,0.964824120603015
"772","7775_ID","Leydig cells","3",0,0,0,1
"773","7775_ID","Endothelial cells","3",0,0,0,1
"774","7775_ID","Meiotic divisions","3",0,0.00147528891074502,0.00147528891074502,0.99704942217851
"775","7775_ID","Diplotene","3",0,0.00702576112412178,0.00140515222482436,0.991569086651054
"776","7775_ID","Sertoli cells","3",0,0.00595238095238095,0,0.994047619047619
"777","7775_ID","Fibrotic peritubular myoid cells","3",0,0,0,1
"778","7775_ID","Macrophages","3",0,0,0,1
"779","7775_ID","PMCs","3",0,0.00212089077412513,0,0.997879109225875
"780","7775_ID","Undifferentiated spermatogonia","3",0,0.00386697602474865,0.000773395204949729,0.995359628770302
"781","7783_ID","PMCs","3",0,0.00212089077412513,0.00106044538706257,0.996818663838812
"782","7783_ID","Pachytene","3",0,0.00402010050251256,0.00201005025125628,0.993969849246231
"783","7783_ID","Macrophages","3",0,0,0,1
"784","7783_ID","Undifferentiated spermatogonia","3",0,0.00154679040989946,0.00309358081979892,0.995359628770302
"785","7783_ID","Endothelial cells","3",0,0,0,1
"786","7783_ID","Early spermatids","3",0.00310173697270471,0.0428039702233251,0.0254342431761787,0.928660049627792
"787","7783_ID","Late spermatids","3",0.000509164969450102,0.0315682281059063,0.0142566191446029,0.953665987780041
"788","7783_ID","Diff.spermatogonia/Preleptotene","3",0,0,0,1
"789","7783_ID","Fibrotic peritubular myoid cells","3",0,0.00515463917525773,0,0.994845360824742
"790","7783_ID","Zygotene","3",0,0.00104058272632674,0.00208116545265349,0.99687825182102
"791","7783_ID","Sertoli cells","3",0,0.00595238095238095,0,0.994047619047619
"792","7783_ID","Leptotene","3",0,0.0065359477124183,0,0.993464052287582
"793","7783_ID","Diplotene","3",0,0.00187353629976581,0,0.998126463700234
"794","7783_ID","Leydig cells","3",0,0,0,1
"795","7783_ID","Meiotic divisions","3",0.00024588148512417,0.0167199409884436,0.00835997049422178,0.974674207032211
"796","7790_ID","Pachytene","3",0,0,0.0110552763819095,0.98894472361809
"797","7790_ID","Sertoli cells","3",0,0,0.0178571428571429,0.982142857142857
"798","7790_ID","Zygotene","3",0,0,0.0072840790842872,0.992715920915713
"799","7790_ID","Endothelial cells","3",0,0,0,1
"800","7790_ID","Early spermatids","3",0.000620347394540943,0,0.254962779156328,0.744416873449132
"801","7790_ID","Meiotic divisions","3",0,0.00073764445537251,0.0619621342512909,0.937300221293337
"802","7790_ID","PMCs","3",0,0,0.0116648992576882,0.988335100742312
"803","7790_ID","Late spermatids","3",0,0.000509164969450102,0.143584521384929,0.855906313645621
"804","7790_ID","Leydig cells","3",0,0,0.0227272727272727,0.977272727272727
